userID	movieID	rating	date_day	date_month	date_year	date_hour	date_minute	date_second
1   4369    5   7   1   2023    15  0   0
1   46335   5   7   1   2023    15  5   0
1   4201    5   7   1   2023    15  10  0
1   1   3   20  10  2022    7   0   0
1   2   4   10  1   2021    8   0   0
1   63436   4.5 12  4   2020    6   8   2
1   62912   3.5 8   1   2015    5   6   7
1   59315   5   7   3   2018    6   3   4
1   56367   2.5 3   3   2012    5   6   7
1   54503   4   2   2   2020    2   2   2
1   51939   3   4   3   2021    3   4   5
1   48322   4.5 3   4   2022    2   3   4
1   45517   4.5 3   5   2015    2   3   4
1   45499   4   2   3   2020    5   9   5
1   4212    4   12  12  2022    5   4   3
1   3988    3   12  12  2022    12  12  12
1   3702    3.5 2   2   2009    34  34  34
1   2513    3.5 5   6   2017    45  34  34
1   592  4.5 2   3   2034    23  45  45

